Student #,Intellect,Integrity,Courage,Reflexes,Patience,House,Ofstev Rating
4116,16,6,35,56,10,Dragonslayer,24
4117,29,39,44,38,52,Dragonslayer,26
4118,37,39,32,12,44,Thought-Talon,38
4119,15,53,50,2,57,Humblescrumble,20
4120,35,42,36,45,46,Dragonslayer,53
4121,37,20,8,54,44,Serpentyne,33
4122,59,6,38,26,6,Dragonslayer,22
4123,45,18,26,28,32,Thought-Talon,28
4124,14,47,34,17,44,Humblescrumble,15
4125,15,61,39,40,27,Humblescrumble,20
4126,27,17,46,37,56,Dragonslayer,28
4127,16,57,43,20,33,Humblescrumble,18
4128,23,31,9,52,52,Serpentyne,23
4129,28,13,37,55,32,Serpentyne,26
4130,21,56,53,31,42,Dragonslayer,30
4131,36,41,29,65,32,Dragonslayer,37
4132,34,28,14,30,50,Serpentyne,29
4133,17,28,17,40,33,Dragonslayer,22
4134,25,38,56,35,13,Dragonslayer,35
4135,50,12,15,5,34,Thought-Talon,24
4136,13,8,45,28,22,Dragonslayer,26
4137,24,68,25,58,55,Dragonslayer,29
4138,57,32,61,40,8,Dragonslayer,33
4139,36,22,15,17,6,Humblescrumble,10
4140,35,45,48,30,10,Dragonslayer,32
4141,71,16,30,70,18,Serpentyne,45
4142,17,35,57,26,10,Serpentyne,15
4143,19,40,53,21,9,Dragonslayer,22
4144,35,59,31,33,33,Dragonslayer,35
4145,47,28,25,64,44,Serpentyne,40
4146,21,55,49,58,54,Dragonslayer,34
4147,57,49,56,42,38,Dragonslayer,46
4148,53,26,10,53,35,Serpentyne,41
4149,20,33,24,5,42,Thought-Talon,16
4150,9,40,24,51,20,Thought-Talon,9
4151,16,12,41,36,29,Serpentyne,15
4152,63,44,41,69,53,Dragonslayer,56
4153,56,18,24,62,59,Serpentyne,40
4154,25,4,63,18,28,Dragonslayer,32
4155,25,59,26,21,33,Thought-Talon,31
4156,47,26,36,59,43,Serpentyne,38
4157,23,65,40,18,15,Humblescrumble,30
4158,13,29,10,71,32,Humblescrumble,11
4159,49,51,17,55,24,Serpentyne,36
4160,23,56,9,31,47,Serpentyne,29
4161,47,15,12,26,15,Serpentyne,18
4162,23,51,28,8,45,Thought-Talon,26
4163,28,6,20,57,29,Serpentyne,28
4164,8,30,25,25,50,Humblescrumble,24
4165,33,33,52,53,39,Dragonslayer,31
4166,77,20,49,47,32,Dragonslayer,34
4167,9,38,32,11,26,Humblescrumble,16
4168,29,38,54,57,21,Dragonslayer,30
4169,24,43,41,38,38,Dragonslayer,36
4170,63,11,10,20,31,Thought-Talon,19
4171,27,51,26,12,17,Humblescrumble,23
4172,59,24,55,56,13,Serpentyne,39
4173,64,67,67,37,46,Thought-Talon,51
4174,23,18,41,20,11,Dragonslayer,18
4175,42,33,50,44,41,Dragonslayer,31
4176,28,34,34,15,24,Thought-Talon,21
4177,6,24,32,54,40,Humblescrumble,22
4178,42,46,28,26,34,Dragonslayer,38
4179,28,23,32,27,7,Dragonslayer,16
4180,67,35,17,45,4,Serpentyne,29
4181,65,25,31,36,33,Dragonslayer,29
4182,30,29,36,43,35,Dragonslayer,29
4183,21,41,32,46,5,Serpentyne,25
4184,25,44,27,47,8,Serpentyne,30
4185,50,54,31,16,10,Humblescrumble,31
4186,40,48,22,22,69,Serpentyne,29
4187,44,13,36,35,13,Serpentyne,23
4188,31,34,43,26,67,Thought-Talon,30
4189,63,2,26,11,41,Thought-Talon,39
4190,26,34,65,26,36,Dragonslayer,25
4191,18,58,53,27,69,Dragonslayer,26
4192,10,33,13,14,42,Humblescrumble,22
4193,4,23,54,32,29,Serpentyne,6
4194,29,36,56,16,27,Thought-Talon,28
4195,53,28,21,55,43,Serpentyne,40
4196,39,24,6,40,51,Serpentyne,30
4197,18,40,18,4,31,Thought-Talon,21
4198,24,46,20,44,53,Dragonslayer,23
4199,38,29,33,24,27,Thought-Talon,30
4200,54,30,18,19,29,Thought-Talon,25
4201,22,9,47,45,26,Dragonslayer,38
4202,46,8,24,48,18,Serpentyne,30
4203,22,51,30,28,57,Dragonslayer,21
4204,9,68,36,25,60,Humblescrumble,25
4205,33,14,31,70,37,Serpentyne,31
4206,26,52,38,71,54,Dragonslayer,32
4207,25,20,59,26,26,Dragonslayer,26
4208,16,33,39,15,71,Humblescrumble,25
4209,26,33,42,28,38,Dragonslayer,29
4210,26,50,28,29,53,Dragonslayer,41
4211,19,23,26,27,45,Dragonslayer,21
4212,27,41,59,33,6,Dragonslayer,33
4213,22,48,40,61,7,Dragonslayer,20
4214,40,29,46,25,21,Dragonslayer,23
4215,39,29,68,42,28,Dragonslayer,43
4216,65,21,48,48,22,Serpentyne,28
4217,9,24,13,23,24,Humblescrumble,16
4218,44,32,58,37,15,Dragonslayer,33
4219,6,10,39,36,22,Dragonslayer,26
4220,56,34,65,24,31,Thought-Talon,27
4221,27,3,44,23,58,Serpentyne,28
4222,33,39,64,18,42,Thought-Talon,39
4223,14,29,43,39,34,Dragonslayer,24
4224,68,16,25,4,40,Thought-Talon,32
4225,24,34,51,47,60,Dragonslayer,34
4226,67,13,32,19,17,Dragonslayer,16
4227,52,26,26,43,65,Serpentyne,39
4228,33,37,38,50,15,Serpentyne,32
4229,8,22,28,29,52,Humblescrumble,29
4230,34,32,37,37,17,Serpentyne,30
4231,52,43,41,8,46,Humblescrumble,29
4232,33,49,18,13,36,Humblescrumble,22
4233,15,5,51,48,62,Dragonslayer,31
4234,26,39,56,41,12,Dragonslayer,29
4235,45,39,56,23,35,Thought-Talon,43
4236,43,28,40,41,28,Dragonslayer,31
4237,22,17,37,30,25,Dragonslayer,18
4238,26,42,7,42,7,Serpentyne,22
4239,48,39,52,35,27,Serpentyne,22
4240,59,57,37,38,34,Dragonslayer,42
4241,34,55,39,49,40,Dragonslayer,45
4242,41,38,11,47,14,Serpentyne,35
4243,51,54,28,39,11,Dragonslayer,14
4244,5,44,50,20,44,Dragonslayer,22
4245,36,38,23,48,47,Serpentyne,34
4246,34,4,5,39,17,Serpentyne,24
4247,10,17,12,48,14,Humblescrumble,15
4248,20,72,59,31,35,Dragonslayer,29
4249,34,55,22,33,66,Serpentyne,26
4250,55,29,37,47,50,Thought-Talon,36
4251,46,31,11,38,4,Serpentyne,17
4252,29,33,17,31,9,Humblescrumble,21
4253,23,43,26,59,27,Dragonslayer,29
4254,62,59,16,46,19,Humblescrumble,40
4255,23,31,33,8,40,Thought-Talon,27
4256,44,27,62,27,23,Dragonslayer,31
4257,49,52,4,24,24,Humblescrumble,37
4258,29,46,23,14,17,Humblescrumble,24
4259,48,56,43,60,37,Dragonslayer,36
4260,55,16,40,40,57,Thought-Talon,50
4261,39,29,45,34,46,Dragonslayer,38
4262,15,41,26,30,45,Humblescrumble,22
4263,35,29,19,67,41,Thought-Talon,23
4264,3,15,53,17,28,Dragonslayer,21
4265,38,54,9,32,36,Humblescrumble,35
4266,39,57,30,17,22,Humblescrumble,30
4267,33,26,53,19,21,Dragonslayer,19
4268,52,34,9,26,37,Thought-Talon,28
4269,43,39,26,59,23,Serpentyne,32
4270,34,43,61,60,28,Dragonslayer,41
4271,24,10,39,23,27,Dragonslayer,25
4272,26,43,16,20,50,Serpentyne,25
4273,50,57,14,37,20,Humblescrumble,39
4274,25,23,16,23,69,Humblescrumble,30
4275,36,35,68,41,16,Dragonslayer,35
4276,25,28,27,16,10,Humblescrumble,15
4277,44,37,54,22,32,Thought-Talon,44
4278,40,61,14,62,30,Serpentyne,41
4279,63,42,71,20,63,Thought-Talon,61
4280,38,11,53,8,36,Thought-Talon,25
4281,15,13,45,32,11,Dragonslayer,28
4282,30,14,62,19,29,Dragonslayer,27
4283,27,8,51,18,56,Serpentyne,25
4284,28,46,65,35,24,Dragonslayer,23
4285,48,32,33,17,17,Dragonslayer,15
4286,66,47,11,35,21,Humblescrumble,26
4287,52,38,29,42,41,Dragonslayer,33
4288,19,22,42,64,48,Dragonslayer,32
4289,18,4,36,7,20,Humblescrumble,19
4290,43,23,25,53,10,Serpentyne,42
4291,29,9,25,46,16,Serpentyne,29
4292,56,22,59,59,65,Serpentyne,40
4293,26,59,21,40,33,Dragonslayer,22
4294,22,55,41,41,48,Dragonslayer,30
4295,22,26,27,19,36,Thought-Talon,20
4296,16,25,41,31,5,Dragonslayer,18
4297,14,41,53,41,43,Dragonslayer,42
4298,31,31,28,59,69,Dragonslayer,34
4299,50,43,26,27,16,Humblescrumble,29
4300,39,33,42,11,33,Thought-Talon,46
4301,28,35,45,36,19,Dragonslayer,30
4302,7,16,51,20,25,Dragonslayer,26
4303,29,10,29,56,32,Serpentyne,27
4304,51,44,37,22,25,Humblescrumble,29
4305,34,58,11,43,24,Humblescrumble,28
4306,65,14,26,66,26,Serpentyne,37
4307,54,22,21,48,33,Serpentyne,35
4308,21,10,11,9,41,Serpentyne,21
4309,39,46,37,26,25,Dragonslayer,30
4310,25,11,22,39,37,Serpentyne,21
4311,51,58,49,35,25,Humblescrumble,40
4312,42,21,67,30,15,Dragonslayer,25
4313,21,15,14,26,56,Humblescrumble,21
4314,21,3,48,24,43,Dragonslayer,20
4315,50,29,64,45,52,Dragonslayer,37
4316,58,37,49,18,58,Thought-Talon,48
4317,52,22,5,22,38,Thought-Talon,29
4318,53,17,58,42,55,Dragonslayer,34
4319,24,22,14,39,19,Serpentyne,20
4320,14,54,24,42,17,Humblescrumble,20
4321,67,44,26,17,39,Thought-Talon,35
4322,49,29,22,30,41,Thought-Talon,33
4323,14,33,31,16,16,Humblescrumble,17
4324,56,28,24,30,28,Dragonslayer,23
4325,59,55,21,18,37,Humblescrumble,31
4326,16,32,28,49,37,Dragonslayer,17
4327,41,17,42,26,58,Serpentyne,40
4328,44,53,53,39,45,Thought-Talon,46
4329,18,60,54,27,13,Dragonslayer,28
4330,19,11,20,39,27,Serpentyne,20
4331,41,63,38,24,14,Humblescrumble,40
4332,19,31,41,48,23,Dragonslayer,25
4333,44,33,24,33,50,Serpentyne,35
4334,48,12,43,38,15,Dragonslayer,26
4335,14,28,55,31,22,Dragonslayer,23
4336,38,11,27,46,44,Serpentyne,27
4337,22,37,20,30,26,Thought-Talon,23
4338,42,70,36,36,38,Dragonslayer,37
4339,43,25,40,46,19,Serpentyne,22
4340,56,30,31,32,20,Dragonslayer,24
4341,34,32,15,56,22,Serpentyne,31
4342,25,31,46,30,26,Dragonslayer,29
4343,24,41,61,30,36,Dragonslayer,33
4344,27,21,15,29,39,Dragonslayer,16
4345,43,46,44,55,30,Dragonslayer,34
4346,47,26,53,27,23,Serpentyne,12
4347,30,41,16,25,33,Humblescrumble,25
4348,17,72,29,8,38,Humblescrumble,20
4349,40,24,19,42,52,Serpentyne,34
4350,32,61,21,34,37,Humblescrumble,19
4351,46,34,5,60,19,Thought-Talon,15
4352,10,9,64,13,31,Dragonslayer,19
4353,31,16,60,24,19,Dragonslayer,26
4354,72,47,41,46,35,Dragonslayer,46
4355,24,13,44,22,17,Dragonslayer,14
4356,39,18,17,72,25,Serpentyne,37
4357,49,41,34,36,43,Dragonslayer,51
4358,20,44,38,7,27,Thought-Talon,22
4359,28,32,62,43,12,Dragonslayer,48
4360,33,19,52,30,13,Thought-Talon,14
4361,52,34,49,11,52,Dragonslayer,23
4362,24,73,36,26,35,Dragonslayer,38
4363,14,14,12,40,11,Serpentyne,13
4364,30,33,50,19,17,Dragonslayer,26
4365,57,43,47,9,21,Humblescrumble,25
4366,42,56,49,17,37,Thought-Talon,37
4367,6,22,36,34,31,Dragonslayer,20
4368,33,33,34,34,34,Dragonslayer,33
4369,55,30,54,38,30,Dragonslayer,37
4370,14,19,36,36,53,Humblescrumble,23
4371,31,24,21,9,30,Thought-Talon,28
4372,34,30,51,30,17,Dragonslayer,34
4373,17,28,10,56,58,Humblescrumble,18
4374,59,21,1,22,63,Serpentyne,38
4375,42,39,14,53,19,Serpentyne,37
4376,13,36,24,23,14,Humblescrumble,13
4377,32,41,19,14,33,Thought-Talon,28
4378,23,49,29,37,46,Dragonslayer,24
4379,14,20,30,29,26,Dragonslayer,14
4380,37,20,11,30,15,Serpentyne,15
4381,50,29,30,47,30,Dragonslayer,33
4382,62,36,17,34,50,Thought-Talon,43
4383,20,37,62,15,26,Thought-Talon,23
4384,16,35,54,55,28,Dragonslayer,37
4385,29,45,43,17,18,Humblescrumble,35
4386,15,59,33,59,34,Humblescrumble,15
4387,32,20,44,65,41,Serpentyne,19
4388,44,37,54,39,20,Dragonslayer,28
4389,41,33,40,9,43,Thought-Talon,36
4390,35,27,50,29,44,Dragonslayer,33
4391,35,51,28,37,21,Humblescrumble,39
4392,44,41,33,23,33,Thought-Talon,34
4393,37,15,12,3,28,Humblescrumble,17
4394,26,50,60,61,19,Dragonslayer,42
4395,13,41,13,17,37,Humblescrumble,12
4396,18,21,53,23,19,Dragonslayer,21
4397,55,16,37,23,6,Dragonslayer,26
4398,36,38,52,43,50,Dragonslayer,47
4399,29,29,37,27,24,Dragonslayer,34
4400,38,28,12,56,40,Serpentyne,30
4401,34,37,43,55,45,Dragonslayer,41
4402,8,41,24,44,20,Humblescrumble,24
4403,3,23,8,36,44,Humblescrumble,26
4404,7,32,41,21,21,Dragonslayer,22
4405,45,31,35,27,28,Dragonslayer,36
4406,44,3,50,9,22,Thought-Talon,20
4407,17,32,30,18,32,Dragonslayer,18
4408,26,29,42,48,7,Dragonslayer,26
4409,40,46,23,38,18,Thought-Talon,22
4410,42,13,38,14,28,Thought-Talon,26
4411,26,4,14,19,11,Humblescrumble,14
4412,48,10,45,25,33,Thought-Talon,30
4413,25,14,6,54,28,Serpentyne,22
4414,28,39,37,22,48,Thought-Talon,27
4415,21,10,55,28,43,Dragonslayer,27
4416,41,37,15,15,33,Thought-Talon,33
4417,4,52,24,59,15,Humblescrumble,24
4418,7,37,17,19,36,Humblescrumble,18
4419,39,54,31,14,34,Thought-Talon,37
4420,25,59,24,40,33,Serpentyne,24
4421,41,43,9,16,42,Thought-Talon,29
4422,28,26,10,5,18,Thought-Talon,15
4423,46,30,28,20,16,Dragonslayer,20
4424,30,44,49,48,29,Dragonslayer,35
4425,14,49,16,45,33,Humblescrumble,19
4426,55,25,28,35,47,Thought-Talon,42
4427,15,36,23,38,22,Humblescrumble,17
4428,25,25,19,35,30,Dragonslayer,24
4429,19,35,16,46,38,Serpentyne,18
4430,58,62,22,30,32,Humblescrumble,40
4431,54,63,2,49,20,Humblescrumble,48
4432,40,38,56,39,16,Dragonslayer,39
4433,35,47,19,36,37,Humblescrumble,21
4434,51,45,43,35,10,Humblescrumble,27
4435,3,45,29,59,49,Humblescrumble,19
4436,44,40,45,23,56,Thought-Talon,54
4437,51,45,10,21,14,Humblescrumble,31
4438,17,42,30,5,50,Serpentyne,17
4439,52,40,46,49,20,Serpentyne,32
4440,2,10,8,20,47,Humblescrumble,19
4441,36,40,35,12,6,Humblescrumble,25
4442,44,9,10,26,31,Thought-Talon,30
4443,36,57,44,22,33,Thought-Talon,32
4444,39,57,38,25,50,Thought-Talon,48
4445,28,42,16,31,58,Serpentyne,29
4446,32,15,45,25,9,Dragonslayer,16
4447,17,45,47,48,8,Dragonslayer,31
4448,25,5,37,39,12,Serpentyne,26
4449,56,50,33,53,6,Thought-Talon,7
4450,19,6,22,11,9,Humblescrumble,12
4451,45,9,39,39,50,Serpentyne,35
4452,62,53,22,68,29,Serpentyne,38
4453,26,11,5,13,15,Thought-Talon,13
4454,61,34,26,38,59,Thought-Talon,47
4455,35,37,29,32,21,Dragonslayer,25
4456,20,26,50,29,22,Dragonslayer,30
4457,46,33,43,23,57,Thought-Talon,46
4458,24,9,3,11,72,Humblescrumble,30
4459,55,42,40,38,14,Humblescrumble,22
4460,37,40,38,11,29,Thought-Talon,33
4461,18,58,8,33,45,Humblescrumble,25
4462,27,36,36,31,20,Serpentyne,15
4463,9,9,62,11,46,Humblescrumble,22
4464,17,38,38,38,23,Dragonslayer,24
4465,59,54,14,15,23,Humblescrumble,37
4466,28,46,23,39,28,Humblescrumble,24
4467,23,20,51,60,11,Dragonslayer,29
4468,49,60,11,28,35,Humblescrumble,30
4469,9,11,16,20,57,Humblescrumble,22
4470,27,63,18,35,32,Humblescrumble,28
4471,22,36,31,49,36,Dragonslayer,20
4472,32,45,46,32,21,Humblescrumble,30
4473,54,42,21,52,51,Thought-Talon,29
4474,26,9,24,25,37,Serpentyne,21
4475,23,9,37,53,50,Serpentyne,28
4476,31,18,51,52,28,Dragonslayer,27
4477,11,53,40,54,20,Dragonslayer,27
4478,40,46,19,19,8,Humblescrumble,27
4479,40,24,34,15,73,Serpentyne,39
4480,53,52,60,35,10,Humblescrumble,37
4481,21,66,13,32,17,Humblescrumble,16
4482,37,9,39,62,22,Serpentyne,33
4483,12,16,40,38,26,Dragonslayer,24
4484,37,49,19,67,39,Serpentyne,29
4485,24,5,14,22,43,Serpentyne,26
4486,30,31,49,58,57,Dragonslayer,37
4487,52,27,59,59,61,Serpentyne,40
4488,45,30,29,32,35,Dragonslayer,41
4489,10,54,31,30,26,Dragonslayer,22
4490,65,15,27,22,54,Thought-Talon,45
4491,47,33,44,15,5,Thought-Talon,3
4492,13,33,41,40,36,Dragonslayer,20
4493,37,36,38,60,38,Serpentyne,25
4494,20,15,15,26,38,Serpentyne,15
4495,37,44,29,36,71,Dragonslayer,41
4496,39,8,60,24,57,Dragonslayer,31
4497,15,23,43,52,35,Serpentyne,19
4498,53,57,27,30,30,Humblescrumble,46
4499,57,19,8,19,46,Thought-Talon,38
4500,23,2,37,36,32,Serpentyne,20
4501,23,6,8,37,16,Serpentyne,27
4502,48,26,35,56,44,Serpentyne,30
4503,41,10,12,45,5,Serpentyne,29
4504,35,22,25,28,54,Serpentyne,37
4505,24,41,50,31,24,Serpentyne,19
4506,42,67,14,24,57,Serpentyne,41
4507,29,50,5,35,20,Humblescrumble,27
4508,5,19,31,20,68,Humblescrumble,23
4509,52,15,17,31,33,Thought-Talon,23
4510,34,5,28,32,11,Serpentyne,21
4511,35,60,25,17,41,Humblescrumble,30
4512,44,17,42,59,18,Serpentyne,39
4513,17,21,35,22,27,Dragonslayer,16
4514,33,22,19,14,34,Thought-Talon,27
4515,56,31,17,56,22,Serpentyne,35
4516,39,36,38,34,15,Humblescrumble,21
4517,40,15,12,30,20,Thought-Talon,10
4518,34,64,26,39,46,Dragonslayer,31
4519,30,35,20,51,57,Serpentyne,35
4520,21,33,16,53,32,Humblescrumble,15
4521,21,46,15,39,43,Serpentyne,22
4522,12,17,30,34,56,Humblescrumble,18
4523,52,37,19,22,33,Thought-Talon,38
4524,16,29,40,9,73,Humblescrumble,30
4525,51,29,11,10,6,Humblescrumble,18
4526,44,36,43,45,10,Thought-Talon,8
4527,19,10,61,44,40,Dragonslayer,37
4528,48,50,38,23,57,Thought-Talon,47
4529,46,15,45,29,39,Thought-Talon,22
4530,23,13,65,47,32,Dragonslayer,50
4531,19,41,33,54,45,Dragonslayer,23
4532,32,70,25,34,25,Dragonslayer,33
4533,27,44,48,29,38,Humblescrumble,22
4534,43,12,16,22,18,Thought-Talon,17
4535,27,7,12,25,20,Thought-Talon,14
4536,32,32,34,21,19,Dragonslayer,21
4537,31,40,45,27,52,Thought-Talon,35
4538,43,41,20,10,53,Serpentyne,33
4539,55,35,33,23,29,Thought-Talon,26
4540,23,50,37,60,45,Dragonslayer,34
4541,34,40,30,28,24,Dragonslayer,25
4542,36,34,18,43,41,Dragonslayer,20
4543,28,13,65,4,42,Serpentyne,20
4544,22,16,40,19,23,Dragonslayer,26
4545,46,36,68,9,59,Thought-Talon,45
4546,33,55,13,17,28,Humblescrumble,20
4547,5,31,52,36,28,Dragonslayer,28
4548,39,44,28,50,10,Serpentyne,34
4549,27,28,7,32,24,Dragonslayer,10
4550,51,24,42,40,11,Dragonslayer,22
4551,21,51,42,32,27,Dragonslayer,23
4552,22,25,49,50,15,Dragonslayer,37
4553,31,55,19,44,30,Serpentyne,21
4554,55,33,29,38,37,Dragonslayer,35
4555,58,63,20,62,33,Thought-Talon,30
4556,20,45,44,27,46,Dragonslayer,27
4557,38,9,30,16,28,Thought-Talon,27
4558,7,25,21,39,32,Humblescrumble,16
4559,71,71,65,32,43,Thought-Talon,56
4560,30,53,34,44,42,Dragonslayer,41
4561,38,40,34,4,66,Thought-Talon,39
4562,48,27,41,33,52,Serpentyne,32
4563,33,9,26,64,7,Serpentyne,25
4564,7,33,14,27,37,Humblescrumble,20
4565,33,17,33,41,23,Serpentyne,20
4566,57,34,29,9,34,Thought-Talon,38
4567,18,13,44,43,46,Dragonslayer,27
4568,44,15,19,19,13,Dragonslayer,14
4569,29,67,28,7,14,Thought-Talon,15
4570,72,26,27,43,23,Dragonslayer,18
4571,43,22,28,52,11,Serpentyne,37
4572,8,10,10,30,37,Humblescrumble,20
4573,56,38,25,46,7,Serpentyne,19
4574,48,75,11,36,37,Humblescrumble,33
4575,40,10,35,46,67,Serpentyne,33
4576,19,31,39,16,45,Serpentyne,16
4577,8,33,11,5,22,Humblescrumble,25
4578,59,31,19,25,64,Serpentyne,47
4579,17,8,11,9,53,Humblescrumble,22
4580,55,17,17,71,21,Serpentyne,54
4581,28,32,49,14,58,Thought-Talon,31
4582,15,46,50,28,60,Dragonslayer,30
4583,57,12,20,30,72,Serpentyne,47
4584,70,21,47,24,60,Thought-Talon,67
4585,46,69,46,22,17,Humblescrumble,37
4586,24,26,20,10,33,Thought-Talon,25
4587,51,58,44,23,31,Humblescrumble,45
4588,37,38,20,27,39,Thought-Talon,26
4589,28,40,7,10,25,Humblescrumble,22
4590,13,44,21,30,30,Humblescrumble,27
4591,28,39,39,47,37,Dragonslayer,36
4592,20,38,40,39,33,Dragonslayer,26
4593,46,38,7,66,17,Thought-Talon,16
4594,12,69,43,26,41,Humblescrumble,27
4595,53,18,47,28,45,Thought-Talon,36
4596,37,24,31,26,56,Serpentyne,40
4597,24,25,25,15,40,Thought-Talon,30
4598,50,15,35,22,31,Thought-Talon,16
4599,6,19,40,23,48,Thought-Talon,5
4600,36,31,29,37,6,Serpentyne,19
4601,19,29,39,57,16,Dragonslayer,22
4602,44,28,10,25,68,Serpentyne,29
4603,14,55,8,24,36,Humblescrumble,23
4604,50,33,31,16,21,Thought-Talon,16
4605,26,1,36,33,37,Serpentyne,25
4606,22,47,42,20,16,Dragonslayer,26
4607,30,31,22,27,15,Humblescrumble,18
4608,40,6,52,54,27,Serpentyne,29
4609,33,38,51,22,70,Thought-Talon,39
4610,14,42,49,60,45,Dragonslayer,33
4611,41,31,11,7,28,Thought-Talon,23
4612,25,2,14,35,62,Serpentyne,21
4613,8,35,37,39,54,Humblescrumble,19
4614,47,10,28,27,20,Thought-Talon,17
4615,33,28,35,8,14,Humblescrumble,19
4616,14,37,3,16,21,Humblescrumble,20
4617,7,75,21,23,16,Humblescrumble,31
4618,23,28,15,33,47,Serpentyne,15
4619,40,21,36,22,33,Thought-Talon,35
4620,34,66,18,67,34,Serpentyne,29
4621,26,8,28,54,45,Serpentyne,28
4622,21,4,23,58,19,Serpentyne,20
4623,12,44,31,9,23,Humblescrumble,21
4624,23,11,45,39,31,Dragonslayer,28
4625,35,42,25,5,37,Thought-Talon,34
4626,23,21,58,30,5,Dragonslayer,31
4627,30,8,37,29,56,Serpentyne,26
4628,28,8,36,49,41,Thought-Talon,23
4629,19,30,8,8,33,Serpentyne,25
4630,15,3,64,37,3,Dragonslayer,32
4631,38,16,65,40,35,Serpentyne,32
4632,9,26,21,19,39,Humblescrumble,23
4633,29,36,77,65,25,Dragonslayer,52
4634,12,24,43,31,33,Dragonslayer,31
4635,25,1,65,41,9,Dragonslayer,40
4636,66,24,58,30,35,Dragonslayer,22
4637,19,67,37,23,22,Humblescrumble,23
4638,19,49,9,64,66,Humblescrumble,32
4639,30,25,43,24,56,Dragonslayer,26
4640,26,12,37,33,15,Dragonslayer,27
4641,11,32,31,47,32,Humblescrumble,15
4642,10,52,53,41,14,Dragonslayer,30
4643,53,65,48,45,30,Humblescrumble,50
4644,47,54,16,17,27,Humblescrumble,40
4645,53,32,4,52,41,Serpentyne,27
4646,5,14,10,34,25,Humblescrumble,10
4647,14,25,44,34,30,Dragonslayer,29
4648,45,16,59,27,39,Thought-Talon,42
4649,20,24,37,39,38,Dragonslayer,24
4650,45,16,36,28,44,Thought-Talon,35
4651,33,31,47,41,50,Dragonslayer,45
4652,49,9,30,31,21,Thought-Talon,17
4653,40,40,2,18,21,Humblescrumble,20
4654,41,56,47,61,11,Serpentyne,40
4655,72,38,46,23,17,Dragonslayer,28
4656,55,40,25,30,46,Thought-Talon,35
4657,11,26,33,25,25,Dragonslayer,27
4658,35,25,36,47,17,Serpentyne,29
4659,35,17,60,49,50,Dragonslayer,34
4660,53,24,42,12,13,Dragonslayer,13
4661,26,69,35,58,51,Thought-Talon,34
4662,42,36,4,47,24,Serpentyne,32
4663,13,23,48,17,37,Dragonslayer,15
4664,20,51,21,48,56,Dragonslayer,21
4665,36,23,15,26,22,Thought-Talon,22
4666,41,55,36,5,35,Thought-Talon,53
4667,16,47,30,17,41,Humblescrumble,24
4668,35,32,44,14,20,Thought-Talon,21
4669,30,53,14,34,69,Serpentyne,35
4670,35,22,9,14,9,Humblescrumble,17
4671,22,51,30,34,33,Dragonslayer,25
4672,29,43,39,47,47,Dragonslayer,46
4673,66,6,29,58,65,Thought-Talon,35
4674,26,33,44,52,38,Dragonslayer,23
4675,27,62,60,40,14,Dragonslayer,32
4676,64,21,64,23,34,Thought-Talon,28
4677,25,39,22,17,55,Serpentyne,32
4678,38,52,4,54,20,Serpentyne,36
4679,8,21,51,32,28,Dragonslayer,22
4680,29,19,18,36,43,Serpentyne,23
4681,32,19,27,28,38,Dragonslayer,25
4682,20,31,44,51,31,Dragonslayer,31
4683,26,51,6,50,33,Serpentyne,17
4684,55,63,15,30,12,Humblescrumble,42
4685,19,56,29,14,54,Humblescrumble,26
4686,64,29,62,45,48,Dragonslayer,38
4687,40,21,18,59,37,Serpentyne,42
4688,10,47,40,35,51,Dragonslayer,24
4689,9,45,23,42,71,Humblescrumble,24
4690,58,20,22,30,21,Dragonslayer,21
4691,47,60,11,23,6,Humblescrumble,48
4692,1,25,34,52,4,Dragonslayer,19
4693,13,42,51,39,10,Dragonslayer,31
4694,27,32,39,43,24,Dragonslayer,33
4695,32,3,17,44,60,Serpentyne,30
4696,38,39,11,46,70,Serpentyne,37
4697,63,39,23,28,16,Humblescrumble,29
4698,26,62,54,26,57,Dragonslayer,34
4699,32,65,32,42,28,Dragonslayer,38
4700,40,44,50,22,41,Thought-Talon,43
4701,24,25,29,17,70,Thought-Talon,30
4702,36,36,24,20,12,Humblescrumble,24
4703,43,33,43,6,32,Thought-Talon,32
4704,16,27,41,48,11,Dragonslayer,29
4705,57,10,21,65,27,Serpentyne,35
4706,14,39,47,41,61,Dragonslayer,27
4707,36,32,13,39,47,Serpentyne,30
4708,52,14,68,67,33,Dragonslayer,45
4709,35,19,38,29,13,Dragonslayer,17
4710,41,37,41,29,50,Thought-Talon,44
4711,51,57,55,47,53,Thought-Talon,64
4712,15,19,46,48,38,Dragonslayer,28
4713,14,8,52,31,33,Dragonslayer,33
4714,49,32,56,57,42,Dragonslayer,51
4715,6,25,47,7,6,Humblescrumble,14
4716,62,6,52,28,5,Dragonslayer,30
4717,5,58,18,28,38,Humblescrumble,24
4718,39,37,35,20,15,Humblescrumble,30
4719,13,13,11,33,36,Humblescrumble,15
4720,26,54,26,25,29,Dragonslayer,26
4721,33,30,35,18,28,Thought-Talon,29
4722,16,21,34,29,47,Humblescrumble,22
4723,50,9,17,5,60,Serpentyne,49
4724,57,31,13,31,20,Humblescrumble,13
4725,35,30,58,44,42,Dragonslayer,32
4726,37,33,26,47,37,Dragonslayer,30
4727,22,34,27,24,21,Dragonslayer,29
4728,35,28,28,43,42,Dragonslayer,37
